s	Lv	Rv	Ld	Rd
14.25	0.00164999997615814	0.00238000011444092	4.6000000834465E-4	6.00000023841858E-4
14.5	0.00169000005722046	0.00241000008583069	5.60000002384186E-4	6.10000014305115E-4
14.75	0.0016599999666214	0.00246000003814697	6.49999976158142E-4	6.20000004768372E-4
15	0.00162000000476837	0.00240000009536743	7.79999971389771E-4	6.70000016689301E-4
15.25	0.00162000000476837	0.00239000010490417	8.50000023841858E-4	7.5E-4
15.5	0.00166999995708466	0.00233999991416931	8.60000014305115E-4	6.99999988079071E-4
15.75	0.00171000003814697	0.00236999988555908	8.50000023841858E-4	7.30000019073486E-4
16	0.00174000000953674	0.00235999989509583	8.50000023841858E-4	7.69999980926514E-4
16.25	0.00175	0.00228999996185303	8.50000023841858E-4	8.89999985694885E-4
16.5	0.00175	0.00225	8.39999973773956E-4	8.70000004768372E-4
16.75	0.00171000003814697	0.00215000009536743	8.10000002384186E-4	8.10000002384186E-4
17	0.00169000005722046	0.00215000009536743	8.79999995231628E-4	6.29999995231628E-4
17.25	0.00163999998569489	0.00210999989509583	8.79999995231628E-4	4.30000007152557E-4
17.5	0.00163999998569489	0.00211999988555908	0.00103999996185303	2.30000004172325E-4
17.75	0.00160000002384186	0.00209999990463257	0.00132000005245209	1.40000000596046E-4
18	0.00160000002384186	0.00213000011444092	0.00166999995708466	5.99999986588955E-5
18.25	0.0015900000333786	0.00213000011444092	0.00195000004768372	-1.99999995529652E-5
18.5	0.00154999995231628	0.00213000011444092	0.00207999992370605	-1.19999997317791E-4
18.75	0.00152999997138977	0.00201999998092651	0.00224000000953674	-1.40000000596046E-4
19	0.00148000001907349	0.00183000004291534	0.00224000000953674	-7.00000002980232E-5
19.25	0.00148000001907349	0.00162000000476837	0.00216000008583069	5.99999986588955E-5
19.5	0.00145000004768372	0.00142999994754791	0.00192999994754791	2.39999994635582E-4
19.75	0.00141999995708466	0.00126999998092651	0.00162000000476837	3.10000002384186E-4
20	0.00136000001430511	0.00105999994277954	0.00123000001907349	3.49999994039536E-4
20.25	0.00122000002861023	8.10000002384186E-4	8.60000014305115E-4	3.30000013113022E-4
20.5	0.00117999994754791	6.10000014305115E-4	6.60000026226044E-4	3.60000014305115E-4
20.75	0.0010900000333786	4.30000007152557E-4	5.19999980926514E-4	2.59999990463257E-4
21	0.00108000004291534	4.00000005960464E-4	4.69999998807907E-4	1.50000005960464E-4
21.25	9.49999988079071E-4	3.19999992847443E-4	4.90000009536743E-4	-2.99999993294477E-5
21.5	8.50000023841858E-4	2.59999990463257E-4	5.40000021457672E-4	-1.00000001490116E-4
21.75	7.40000009536743E-4	1.40000000596046E-4	5.40000021457672E-4	-1.59999996423721E-4
22	6.39999985694885E-4	1.99999995529652E-5	4.79999989271164E-4	-9.00000035762787E-5
22.25	5.69999992847443E-4	1.99999995529652E-5	4.30000007152557E-4	1.99999995529652E-5
22.5	4.69999998807907E-4	-7.99999982118607E-5	3.60000014305115E-4	1.09999999403954E-4
22.75	3.60000014305115E-4	-1.00000001490116E-4	2.00000002980232E-4	1.80000007152557E-4
23	2.19999998807907E-4	-2.5E-4	7.00000002980232E-5	1.80000007152557E-4
23.25	1.80000007152557E-4	-3.30000013113022E-4	-5.99999986588955E-5	1.40000000596046E-4
23.5	1.29999995231628E-4	-4.30000007152557E-4	-1.40000000596046E-4	9.00000035762787E-5
23.75	1.40000000596046E-4	-5.69999992847443E-4	-2.39999994635582E-4	1.09999999403954E-4
24	1.19999997317791E-4	-7.30000019073486E-4	-3.40000003576279E-4	1.40000000596046E-4
24.25	1.00000001490116E-4	-0.00104999995231628	-4.6000000834465E-4	9.00000035762787E-5
24.5	3.99999991059303E-5	-0.00133000004291534	-4.69999998807907E-4	-7.99999982118607E-5
24.75	-1.99999995529652E-5	-0.00163999998569489	-5.50000011920929E-4	-2.70000010728836E-4
25	0	-0.0019099999666214	-6.10000014305115E-4	-5.40000021457672E-4
25.25	-9.9999997764826E-6	-0.00209999990463257	-7.69999980926514E-4	-8.79999995231628E-4
25.5	5.00000007450581E-5	-0.00222000002861023	-8.39999973773956E-4	-0.0011599999666214
25.75	3.99999991059303E-5	-0.00205999994277954	-8.29999983310699E-4	-0.00127999997138977
26	1.00000001490116E-4	-0.00186000001430511	-8.19999992847443E-4	-0.00125999999046326
26.25	1.29999995231628E-4	-0.00154999995231628	-7.79999971389771E-4	-0.00126999998092651
26.5	5.00000007450581E-5	-0.00128999996185303	-8.89999985694885E-4	-0.00113999998569489
26.75	-2.99999993294477E-5	-0.0010900000333786	-8.70000004768372E-4	-8.99999976158142E-4
27	-2.19999998807907E-4	-0.00100999999046326	-8.70000004768372E-4	-4.6000000834465E-4
